event,date,doi,selectedPublicationsCount,posInSuggestions,activationSourceComponent,actionDetails
Pub suggested,22:57:59,10.1109/iciscae52414.2021.9590713,10,12,
Pub suggested,22:57:59,10.24963/ijcai.2021/609,10,13,
Pub suggested,22:57:59,10.1145/3351095.3372850,10,14,
Pub suggested,22:57:59,10.1145/3351095.3372824,10,15,
Pub suggested,22:57:59,10.1016/j.inffus.2019.12.012,10,16,
Pub suggested,22:57:59,10.24963/ijcai.2019/876,10,17,
Pub suggested,22:57:59,10.1080/01621459.2019.1604370,10,18,
Pub suggested,22:57:59,10.1145/3312739,10,19,
Pub suggested,22:57:59,10.1016/j.artint.2018.07.007,10,20,
Pub suggested,22:57:59,10.1007/s00500-019-04586-z,10,21,
Pub suggested,22:57:59,10.1109/tnnls.2017.2728138,10,22,
Pub suggested,22:57:59,10.1109/tkde.2018.2791525,10,23,
Pub suggested,22:57:59,10.1007/s00500-018-3170-5,10,24,
Pub suggested,22:57:59,10.1007/978-3-030-01851-1_24,10,25,
Pub suggested,22:57:59,10.1007/978-3-319-75429-1_10,10,26,
Pub suggested,22:57:59,10.1111/stan.12130,10,27,
Pub suggested,22:57:59,10.1016/j.patcog.2015.09.027,10,28,
Pub suggested,22:57:59,10.1145/2939672.2939778,10,29,
Pub suggested,22:57:59,10.1007/978-3-319-23528-8_16,10,30,
Pub suggested,22:57:59,10.1016/j.eswa.2014.09.012,10,31,
Pub suggested,22:57:59,10.25300/misq/2014/38.1.04,10,32,
Pub suggested,22:57:59,10.1007/s11042-014-1914-5,10,33,
Pub suggested,22:57:59,10.1007/s11135-014-0040-9,10,34,
Pub suggested,22:57:59,10.1109/ijcnn.2014.6889890,10,35,
Pub suggested,22:57:59,10.1016/j.jspi.2012.06.004,10,36,
Pub suggested,22:57:59,10.1007/978-3-642-20291-9_6,10,37,
Pub suggested,22:57:59,10.1109/icste.2010.5608801,10,38,
Pub suggested,22:57:59,10.1177/0049124100028003001,10,39,
Pub suggested,22:57:59,10.2466/pms.1995.80.3.843,10,40,
Pub suggested,22:57:59,10.2307/2528080,10,41,
Pub suggested,22:57:59,10.2307/1388242,10,42,
Pub suggested,22:57:59,10.1214/aoms/1177729694,10,43,
Pub suggested,22:57:59,10.1080/02664763.2022.2115985,10,44,
Pub suggested,22:57:59,10.1080/15389588.2021.1987421,10,45,
Pub suggested,22:57:59,10.1002/bimj.201900177,10,46,
Pub suggested,22:57:59,10.1186/s12889-019-7578-3,10,47,
Pub suggested,22:57:59,10.1177/1471082x16642563,10,48,
Pub suggested,22:57:59,10.1002/ecs2.1548,10,49,
Pub suggested,22:57:59,10.1007/978-3-319-00035-0_12,10,50,
Keywords updated,22:58:15,,,,,expl_ counterfactual_
Pub suggested,22:58:15,10.1007/978-3-031-15509-3_51,10,1,
Pub suggested,22:58:15,10.1145/3442188.3445899,10,2,
Pub suggested,22:58:15,10.1007/978-3-030-86520-7_40,10,3,
Pub suggested,22:58:15,10.24963/ijcai.2021/609,10,4,
Pub suggested,22:58:15,10.1145/3351095.3372850,10,5,
Pub suggested,22:58:15,10.24963/ijcai.2019/876,10,6,
Pub suggested,22:58:15,10.1109/tpami.2021.3056510,10,7,
Pub suggested,22:58:15,10.1109/tnnls.2019.2899381,10,8,
Pub suggested,22:58:15,10.1145/3351095.3372824,10,9,
Pub suggested,22:58:15,10.1016/j.inffus.2019.12.012,10,10,
Pub suggested,22:58:15,10.1016/j.artint.2018.07.007,10,11,
Pub suggested,22:58:15,10.1007/978-3-030-01851-1_24,10,12,
Pub suggested,22:58:15,10.1145/2939672.2939778,10,13,
