event,date,doi,title,author,selectedPublicationsCount,posInSuggestions,activationSourceComponent,actionDetails
Pub suggested,13:8:39,10.1145/3064663.3064702,The Visual and Beyond:  Characterizing Experiences with Auditory_ Haptic and Visual Data Representations,Hogan et al.,3,37,
Pub suggested,13:8:39,10.1080/15265161.2016.1251633,Tracking U.S. Professional Athletes: the Ethics of Biometric Technologies,Karkazis and Fishman,3,38,
Pub suggested,13:8:39,10.1109/mcg.2015.25,Knowledge-Assisted Ranking: a Visual Analytic Application for Sports Event Data,Chung et al.,3,39,
Pub suggested,13:8:39,10.1016/j.trc.2014.03.007,Characterising group-cycling journeys using interactive graphics,Beecham and Wood,3,40,
Pub suggested,13:8:39,10.1145/2470654.2481324,Carpé data:  supporting serendipitous data integration in personal information management,Van Kleek et al.,3,41,
Pub suggested,13:8:39,10.1145/2493432.2493478,Adding an interactive display to a public basketball hoop can motivate players and foster community,Chatham and Mueller,3,42,
Pub suggested,13:8:39,10.1145/2207676.2208539,Sustainably unpersuaded:  how persuasion narrows our vision of sustainability,Brynjarsdottir et al.,3,43,
Pub suggested,13:8:39,10.1145/2370216.2370229,A spark of activity:  exploring informative art as visualization for physical activity,Fan et al.,3,44,
Pub suggested,13:8:39,10.1145/2254556.2254642,Visualiz'em:  "show me more about him!",Guerreiro and Gonçalves,3,45,
Pub suggested,13:8:39,10.1111/j.1467-8659.2012.03118.x,MatchPad: Interactive Glyph‐Based Visualization for Real‐Time Sports Performance Analysis,Legg et al.,3,46,
Pub suggested,13:8:39,10.1002/asi.21441,Working with activity theory: Context_ technology_ and information behavior,Allen et al.,3,47,
Pub suggested,13:8:39,10.1145/1978942.1979217,Why is my internet slow?  making network speeds visible,Chetty et al.,3,48,
Pub suggested,13:8:39,10.1007/978-3-642-03658-3_34,This Just In! Your Life in the Newspaper,Antunes et al.,3,49,
Pub suggested,13:8:39,10.1007/978-3-540-72037-9_6,Evaluating a Wearable Display Jersey for Augmenting Team Sports Awareness,Page and Vande Moere,3,50,
Network expanded,13:10:36,,,,,,,
Pub deactivated,13:10:37,10.1111/cgf.13447,State of the Art of Sports Data Visualization,Perin et al.,3,0,
Network mode changed,13:10:42,,,,,,,Timeline
Pub activated,13:10:52,10.1111/cgf.13447,State of the Art of Sports Data Visualization,Perin et al.,3,0,network
Pub deactivated,13:11:9,10.1111/cgf.13447,State of the Art of Sports Data Visualization,Perin et al.,3,0,
Pub activated,13:11:9,10.1111/cgf.14297,Public Data Visualization: Analyzing Local Running Statistics on Situated Displays,Coenen and Moere,3,7,network
Pub activated,13:11:9,10.1111/cgf.14297,Public Data Visualization: Analyzing Local Running Statistics on Situated Displays,Coenen and Moere,3,7,network
