event,date,doi,selectedPublicationsCount,posInSuggestions,activationSourceComponent,actionDetails
Pub suggested,10:58:54,10.1109/tvcg.2013.162,6,19,
Pub suggested,10:58:54,10.1109/tvcg.2013.167,6,20,
Pub suggested,10:58:54,10.1111/j.1467-8659.2011.01921.x,6,21,
Pub suggested,10:58:54,10.1109/tvcg.2010.85,6,22,
Pub suggested,10:58:54,10.1109/mcg.2011.103,6,23,
Pub suggested,10:58:54,10.1145/223904.223912,6,24,
Pub suggested,10:58:54,10.1109/tvcg.2012.252,6,25,
Pub suggested,10:58:54,10.3390/jpm12091359,6,26,
Pub suggested,10:58:54,10.1109/vast.2016.7883520,6,27,
Pub suggested,10:58:54,10.1145/1124772.1124919,6,28,
Pub suggested,10:58:54,10.1145/1056808.1057069,6,29,
Pub suggested,10:58:54,10.1145/302979.303148,6,30,
Pub suggested,10:58:54,10.1109/pacificvis52677.2021.00037,6,31,
Pub suggested,10:58:54,10.1002/asi.5090140103,6,32,
Pub suggested,10:58:54,10.1002/asi.24578,6,33,
Pub suggested,10:58:54,10.1109/2945.981848,6,34,
Pub suggested,10:58:54,10.1109/tvcg.2018.2835485,6,35,
Pub suggested,10:58:54,10.1109/tvcg.2019.2934667,6,36,
Pub suggested,10:58:54,10.1109/tvcg.2011.239,6,37,
Pub suggested,10:58:54,10.1056/nejmsa013404,6,38,
Pub suggested,10:58:54,10.1145/2856767.2856797,6,39,
Pub suggested,10:58:54,10.1109/tvcg.2016.2598827,6,40,
Pub suggested,10:58:54,10.1073/pnas.0307545100,6,41,
Pub suggested,10:58:54,10.1109/tvcg.2011.220,6,42,
Pub suggested,10:58:54,10.1002/asi.10075,6,43,
Pub suggested,10:58:54,10.1007/s12650-018-0483-5,6,44,
Pub suggested,10:58:54,10.1109/iv.2006.94,6,45,
Pub suggested,10:58:54,10.1109/tvcg.2009.162,6,46,
Pub suggested,10:58:54,10.1002/asi.5090110105,6,47,
Pub suggested,10:58:54,10.1145/1835804.1835827,6,48,
Pub suggested,10:58:54,10.1109/vast.2016.7883511,6,49,
Pub suggested,10:58:54,10.1086/601720,6,50,
Keywords updated,10:59:13,,,,,cit,visual,map,publi|literat,exploration
Pub suggested,10:59:13,10.1109/tvcg.2016.2610422,6,1,
Pub suggested,10:59:13,10.1109/tvcg.2016.2598667,6,2,
Pub suggested,10:59:13,10.1109/tvcg.2012.324,6,3,
Pub suggested,10:59:13,10.1109/tvcg.2018.2873011,6,4,
Pub suggested,10:59:13,10.1109/tvcg.2018.2865022,6,5,
Pub suggested,10:59:13,10.1109/access.2019.2929754,6,6,
Pub suggested,10:59:13,10.1109/tvcg.2016.2615308,6,7,
Pub suggested,10:59:13,10.1109/tvcg.2013.167,6,8,
Pub suggested,10:59:13,10.1145/3399715.3399830,6,9,
Pub suggested,10:59:13,10.1002/asi.22652,6,10,
Pub suggested,10:59:13,10.1145/3531073.3534466,6,11,
Pub suggested,10:59:13,10.1109/access.2022.3153027,6,12,
Pub suggested,10:59:13,10.1016/j.cag.2022.02.005,6,13,
Pub suggested,10:59:13,10.1145/3406522.3446037,6,14,
Pub suggested,10:59:13,10.1007/s00371-019-01721-7,6,15,
Pub suggested,10:59:13,10.1109/tvcg.2018.2834341,6,16,
Pub suggested,10:59:13,10.1109/tvcg.2017.2752166,6,17,
Pub suggested,10:59:13,10.15701/kcgs.2016.22.5.27,6,18,
Pub suggested,10:59:13,10.1109/pacificvis.2015.7156366,6,19,
Pub suggested,10:59:13,10.1109/tvcg.2013.162,6,20,
Pub suggested,10:59:13,10.1111/j.1467-8659.2011.01921.x,6,21,
Pub suggested,10:59:13,10.1109/tvcg.2010.85,6,22,
Pub suggested,10:59:13,10.1109/mcg.2011.103,6,23,
Pub suggested,10:59:13,10.1145/223904.223912,6,24,
Pub suggested,10:59:13,10.1109/tvcg.2012.252,6,25,
Pub suggested,10:59:13,10.3390/jpm12091359,6,26,
Pub suggested,10:59:13,10.1109/vast.2016.7883520,6,27,
Pub suggested,10:59:13,10.1145/1124772.1124919,6,28,
Pub suggested,10:59:13,10.1145/1056808.1057069,6,29,
Pub suggested,10:59:13,10.1145/302979.303148,6,30,
Pub suggested,10:59:13,10.1109/pacificvis52677.2021.00037,6,31,
Pub suggested,10:59:13,10.1002/asi.5090140103,6,32,
Pub suggested,10:59:13,10.1002/asi.24578,6,33,
Pub suggested,10:59:13,10.1109/2945.981848,6,34,
Pub suggested,10:59:13,10.1109/tvcg.2018.2835485,6,35,
Pub suggested,10:59:13,10.1109/tvcg.2019.2934667,6,36,
Pub suggested,10:59:13,10.1109/tvcg.2011.239,6,37,
Pub suggested,10:59:13,10.1056/nejmsa013404,6,38,
Pub suggested,10:59:13,10.1145/2856767.2856797,6,39,
Pub suggested,10:59:13,10.1109/tvcg.2016.2598827,6,40,
Pub suggested,10:59:13,10.1073/pnas.0307545100,6,41,
Pub suggested,10:59:13,10.1109/tvcg.2011.220,6,42,
Pub suggested,10:59:13,10.1002/asi.10075,6,43,
Pub suggested,10:59:13,10.1007/s12650-018-0483-5,6,44,
Pub suggested,10:59:13,10.1109/iv.2006.94,6,45,
Pub suggested,10:59:13,10.1109/tvcg.2009.162,6,46,
Pub suggested,10:59:13,10.1002/asi.5090110105,6,47,
Pub suggested,10:59:13,10.1145/1835804.1835827,6,48,
Pub suggested,10:59:13,10.1109/vast.2016.7883511,6,49,
Pub suggested,10:59:13,10.1086/601720,6,50,
Pub activated,10:59:18,10.1109/tvcg.2016.2610422,6,1,Publication lists
Pub activated,10:59:23,10.1109/tvcg.2016.2598667,6,2,Publication lists
Pub qd for selected,10:59:25,10.1109/tvcg.2016.2598667,6,2,
Pub qd for selected,10:59:29,10.1109/tvcg.2012.324,6,3,
Update,10:59:35,,,,,
Pub added,10:59:35,10.1109/tvcg.2016.2598667,,,
Pub added,10:59:35,10.1109/tvcg.2012.324,,,
Pub suggested,10:59:35,10.1109/tvcg.2016.2610422,8,1,
Pub suggested,10:59:35,10.1109/access.2019.2929754,8,2,
Pub suggested,10:59:35,10.1109/tvcg.2016.2615308,8,3,
Pub suggested,10:59:35,10.1109/tvcg.2018.2873011,8,4,
Pub suggested,10:59:35,10.1109/tvcg.2018.2834341,8,5,
Pub suggested,10:59:35,10.1109/tvcg.2018.2865022,8,6,
Pub suggested,10:59:35,10.3390/informatics4020011,8,7,
Pub suggested,10:59:35,10.1109/tvcg.2013.167,8,8,
Pub suggested,10:59:35,10.1002/asi.22652,8,9,
Pub suggested,10:59:35,10.1016/j.cag.2022.02.005,8,10,
Pub suggested,10:59:35,10.1145/3399715.3399830,8,11,
Pub suggested,10:59:35,10.1007/s00371-019-01721-7,8,12,
Pub suggested,10:59:35,10.1109/tvcg.2013.162,8,13,
Pub suggested,10:59:35,10.1111/j.1467-8659.2011.01921.x,8,14,
Pub suggested,10:59:35,10.1145/3531073.3534466,8,15,
Pub suggested,10:59:35,10.1145/3406522.3446037,8,16,
